city;lat;lng;region;population
Helsinki;60.1708;24.9375;Uusimaa;1268296
Tampere;61.4981;23.7600;Pirkanmaa;334112
Espoo;60.2056;24.6556;Uusimaa;297132
Turku;60.4500;22.2667;Varsinais-Suomi;252468
Vantaa;60.2944;25.0403;Uusimaa;214605
Oulu;65.0142;25.4719;Pohjois-Pohjanmaa;208939
Jyväskylä;62.2417;25.7417;Keski-Suomi;141441
Kuopio;62.8925;27.6783;Pohjois-Savo;121557
Lahti;60.9833;25.6500;Päijät-Häme;118119
Kouvola;60.8681;26.7042;Kymenlaakso;85855
Pori;61.4833;21.8000;Satakunta;85363
Joensuu;62.6000;29.7500;Pohjois-Karjala;75514
Lappeenranta;61.0667;28.1833;Etelä-Karjala;72875
Hämeenlinna;60.9944;24.4667;Kanta-Häme;68011
Vaasa;63.1000;21.6167;Pohjanmaa;67619
Seinäjoki;62.7917;22.8417;Etelä-Pohjanmaa;64150
Rovaniemi;66.5000;25.7333;Lappi;62420
Mikkeli;61.6833;27.2667;Etelä-Savo;54665
Kotka;60.4667;26.9417;Kymenlaakso;54319
Salo;60.3861;23.1250;Varsinais-Suomi;53890
Porvoo;60.3944;25.6639;Uusimaa;49928
Kokkola;63.8367;23.1333;Keski-Pohjanmaa;47570
Lohja;60.2500;24.0667;Uusimaa;46785
Hyvinkää;60.6333;24.8500;Uusimaa;46739
Nurmijärvi;60.4667;24.8083;Uusimaa;42709
Järvenpää;60.4750;25.0917;Uusimaa;40106
Rauma;61.1333;21.5000;Satakunta;39809
Kirkkonummi;60.1167;24.4167;Uusimaa;39170
Tuusula;60.4333;25.0500;Uusimaa;38646
Kajaani;64.2311;27.7194;Kainuu;37622
Savonlinna;61.8681;28.8861;Etelä-Savo;35523
Kerava;60.4000;25.1000;Uusimaa;35293
Nokia;61.4767;23.5053;Pirkanmaa;33322
Kaarina;60.4000;22.3667;Varsinais-Suomi;33099
Ylöjärvi;61.5500;23.5833;Pirkanmaa;32738
Kangasala;61.4639;24.0650;Pirkanmaa;32229
Jyväskylän Maalaiskunta;62.2889;25.7417;Keski-Suomi;31870
Riihimäki;60.7333;24.7667;Kanta-Häme;29269
Vihti;60.4051;24.3959;Uusimaa;28919
Raseborg;59.9750;23.4333;Uusimaa;28405
Imatra;61.1833;28.7667;Etelä-Karjala;27835
Sastamala;61.3417;22.9083;Pirkanmaa;25220
Raahe;64.6833;24.4667;Pohjois-Pohjanmaa;25165
Raisio;60.4858;22.1692;Varsinais-Suomi;24290
Hollola;60.9886;25.5128;Päijät-Häme;23915
Karhula;60.5155;26.9354;Kymenlaakso;22686
Lempäälä;61.3167;23.7500;Pirkanmaa;22536
Iisalmi;63.5667;27.1833;Pohjois-Savo;21945
Tornio;65.8500;24.1500;Lappi;21928
Siilinjärvi;63.0750;27.6600;Pohjois-Savo;21794
Kemi;65.7361;24.5636;Lappi;21758
Kurikka;62.6167;22.4000;Etelä-Pohjanmaa;21734
Jämsä;61.8667;25.1833;Keski-Suomi;21542
Varkaus;62.3167;27.8917;Pohjois-Savo;21155
Klaukkala;60.3820;24.7492;Uusimaa;21019
Valkeakoski;61.2667;24.0333;Pirkanmaa;20800
Mäntsälä;60.6331;25.3167;Uusimaa;20685
Äänekoski;62.6000;25.7250;Keski-Suomi;19919
Hamina;60.5667;27.2000;Kymenlaakso;19877
Kuusankoski;60.9083;26.6236;Kymenlaakso;19831
Lieto;60.5000;22.4497;Varsinais-Suomi;19596
Heinola;61.2000;26.0333;Päijät-Häme;19575
Jakobstad;63.6667;22.7000;Pohjanmaa;19436
Sipoo;60.3764;25.2722;Uusimaa;19399
Korsholm;63.1125;21.6778;Pohjanmaa;19302
Naantali;60.4667;22.0333;Varsinais-Suomi;19167
Haukipudas;65.1833;25.3500;Pohjois-Pohjanmaa;18994
Laukaa;62.4167;25.9500;Keski-Suomi;18978
Pieksämäki;62.3000;27.1333;Etelä-Savo;18220
Kempele;64.9125;25.5083;Pohjois-Pohjanmaa;17535
Forssa;60.8167;23.6250;Kanta-Häme;17422
Janakkala;60.9167;24.6500;Kanta-Häme;16853
Kauhava;63.1000;23.0667;Etelä-Pohjanmaa;16784
Loimaa;60.8500;23.0583;Varsinais-Suomi;16467
Orimattila;60.8042;25.7333;Päijät-Häme;16326
Uusikaupunki;60.8000;21.4167;Varsinais-Suomi;15752
Loviisa;60.4583;26.2333;Uusimaa;15311
Sippola;60.7392;27.0003;Kymenlaakso;15278
Vammala;61.3417;22.9083;Pirkanmaa;15213
Ylivieska;64.0750;24.5333;Pohjois-Pohjanmaa;15039
Nastola;60.9500;25.9333;Päijät-Häme;14890
Kontiolahti;62.7667;29.8500;Pohjois-Karjala;14827
Ekenäs;59.9750;23.4333;Uusimaa;14754
Lapua;62.9700;23.0083;Etelä-Pohjanmaa;14609
Kauhajoki;62.4319;22.1794;Etelä-Pohjanmaa;13875
Kiiminki;65.1333;25.7750;Pohjois-Pohjanmaa;13252
Ulvila;61.4333;21.9000;Satakunta;13237
Lauritsala;61.0708;28.2597;Etelä-Karjala;12965
Kalajoki;64.2667;23.9500;Pohjois-Pohjanmaa;12621
Pargas;60.3000;22.3000;Varsinais-Suomi;12266
Ilmajoki;62.7333;22.5833;Etelä-Pohjanmaa;12159
Liperi;62.5333;29.3833;Pohjois-Karjala;12150
Eura;61.1333;22.0833;Satakunta;12128
Alavus;62.5917;23.6167;Etelä-Pohjanmaa;12044
Mikkelin Maalaiskunta;61.6776;27.2021;Etelä-Savo;11988
Vehkalahti;60.5756;27.1439;Kymenlaakso;11922
Kankaanpää;61.8000;22.4000;Satakunta;11769
Mariehamn;60.1000;19.9333;Åland;11461
Valkeala;60.9389;26.7972;Kymenlaakso;11195
Pedersöre;63.6642;22.7006;Pohjanmaa;11084
